Id,Degree
1,35
2,5
3,178
4,1
5,1
6,65
7,5
8,64
9,241
10,2
11,3
12,142
13,3
14,3
15,4
16,1
17,2
18,2
19,110
20,7
21,2
22,3
23,2
24,1
25,3
26,22
27,51
28,1
29,21
30,16
31,1
32,207
33,3
34,57
35,2
36,89
37,1
38,39
39,7
40,2
41,183
42,177
43,3
44,73
45,1
46,5
47,8
48,53
49,1
50,48
51,53
52,49
53,66
54,4
55,2
56,17
57,7
58,28
59,18
60,22
61,22
62,56
63,82
64,5
65,5
66,4
67,156
68,40
69,52
70,17
71,2
72,77
73,36
74,60
75,12
76,5
77,1
78,9
79,17
80,15
81,12
82,3
83,13
84,22
85,24
86,10
87,13
88,34
89,2
90,30
91,4
92,3
93,6
94,7
95,90
96,22
97,75
98,9
99,17
100,3
101,49
102,21
103,255
104,8
105,227
106,2
107,1
108,3
109,24
110,2
111,3
112,4
113,1
114,10
115,4
116,2
117,2
118,22
119,14
120,12
121,10
122,5
123,5
124,43
125,5
126,4
127,25
128,85
129,5
130,1
131,33
132,31
133,3
134,6
135,20
136,3
137,3
138,2
139,1
140,21
141,5
142,34
143,33
144,91
145,24
146,10
147,10
148,3
149,17
150,1
151,10
152,15
153,1
154,19
155,21
156,2
157,6
158,4
159,1
160,10
161,13
162,7
163,19
164,10
165,3
166,7
167,6
168,12
169,1
170,1
171,1
172,36
173,15
174,16
175,41
176,121
177,14
178,1
179,2
180,10
181,26
182,3
183,16
184,17
185,15
186,3
187,3
188,4
189,36
190,9
191,52
192,4
193,59
194,160
195,3
196,1
197,1
198,10
199,66
200,1
201,13
202,3
203,5
204,82
205,2
206,1
207,1
208,1
209,34
210,2
211,30
212,83
213,1
214,44
215,8
216,3
217,1
218,1
219,9
220,46
221,23
222,7
223,4
224,35
225,4
226,4
227,3
228,32
229,1
230,1
231,1
232,3
233,29
234,34
235,5
236,29
237,5
238,3
239,11
240,1
241,6
242,44
243,5
244,7
245,22
246,1
247,2
248,9
249,172
250,63
251,4
252,55
253,1
254,79
255,1
256,21
257,23
258,1
259,15
260,50
261,4
262,2
263,67
264,2
265,9
266,74
267,6
268,1
269,6
270,5
271,12
272,25
273,5
274,23
275,1
276,16
277,105
278,21
279,2
280,3
281,43
282,23
283,41
284,5
285,19
286,14
287,1
288,27
289,52
290,4
291,13
292,2
293,3
294,24
295,4
296,38
297,84
298,18
299,31
300,12
301,1
302,56
303,22
304,4
305,7
306,58
307,20
308,106
309,50
310,4
311,30
312,13
313,17
314,33
315,18
316,33
317,60
318,23
319,22
320,1
321,117
322,12
323,104
324,9
325,89
326,7
327,18
328,5
329,10
330,1
331,2
332,19
333,12
334,20
335,23
336,8
337,48
338,18
339,35
340,6
341,46
342,66
343,37
344,11
345,14
346,42
347,3
348,3
349,24
350,31
351,8
352,21
353,40
354,4
355,16
356,19
357,143
358,25
359,8
360,3
361,26
362,7
363,6
364,13
365,27
366,8
367,20
368,58
369,1
370,9
371,28
372,146
373,13
374,6
375,27
376,22
377,46
378,29
379,26
380,3
381,2
382,3
383,2
384,2
385,6
386,22
387,4
388,32
389,69
390,2
391,26
392,39
393,54
394,36
395,5
396,37
397,1
398,72
399,12
400,227
401,6
402,25
403,7
404,10
405,23
406,2
407,13
408,15
409,31
410,5
411,3
412,1
413,17
414,5
415,38
416,4
417,2
418,19
419,9
420,4
421,7
422,36
423,30
424,10
425,11
426,1
427,2
428,3
429,38
430,24
431,75
432,7
433,2
434,2
435,2
436,3
437,48
438,15
439,27
440,24
441,6
442,12
443,10
444,1
445,13
446,2
447,35
448,46
449,22
450,3
451,8
452,8
453,6
454,60
455,1
456,50
457,3
458,1
459,2
460,39
461,2
462,26
463,38
464,7
465,9
466,10
467,2
468,24
469,13
470,8
471,4
472,8
473,9
474,59
475,88
476,4
477,8
478,2
479,51
480,10
481,55
482,77
483,30
484,6
485,2
486,1
487,11
488,7
489,4
490,2
491,1
492,27
493,3
494,15
495,66
496,12
497,11
498,55
499,2
500,3
501,7
502,68
503,24
504,23
505,3
506,1
507,6
508,4
509,61
510,1
511,8
512,4
513,58
514,44
515,8
516,12
517,23
518,16
519,4
520,18
521,2
522,4
523,101
524,1
525,27
526,2
527,30
528,7
529,3
530,2
531,1
532,14
533,1
534,8
535,5
536,55
537,15
538,39
539,24
540,32
541,4
542,62
543,12
544,25
545,21
546,44
547,34
548,12
549,22
550,2
551,26
552,10
553,6
554,5
555,63
556,4
557,35
558,1
559,4
560,26
561,38
562,9
563,8
564,4
565,1
566,9
567,26
568,3
569,36
570,11
571,8
572,3
573,22
574,7
575,8
576,28
577,4
578,4
579,3
580,3
581,5
582,19
583,29
584,2
585,5
586,71
587,9
588,23
589,6
590,46
591,4
592,23
593,14
594,22
595,29
596,41
597,8
598,123
599,22
600,22
601,12
602,5
603,20
604,1
605,78
606,8
607,30
608,1
609,44
610,5
611,3
612,6
613,2
614,2
615,62
616,23
617,73
618,1
619,10
620,31
621,33
622,5
623,2
624,12
625,12
626,74
627,22
628,2
629,5
630,2
631,10
632,23
633,2
634,9
635,13
636,16
637,4
638,169
639,48
640,38
641,8
642,47
643,6
644,83
645,23
646,21
647,2
648,10
649,19
650,4
651,9
652,66
653,1
654,67
655,19
656,1
657,6
658,21
659,15
660,6
661,2
